,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,trial_start,latency
56,RadialMaze_2023-01-12_AR_Zeus3_S1,1320.89937,79254,,,Zeus,arm_visited,arm_5,1285.799387,35.09998325
57,RadialMaze_2023-01-12_AR_Zeus3_S1,1324.532701,79472,,,Zeus,arm_visited,arm_6,1285.799387,38.73331485
58,RadialMaze_2023-01-13_AR_Kito_S1,537.2163127,32233,679.849552,40791,Kito,trial,1,537.2163127,0
59,RadialMaze_2023-01-13_AR_Kito_S1,545.1996407,32712,,,Kito,arm_visited,arm_1,537.2163127,7.983328073
60,RadialMaze_2023-01-13_AR_Kito_S1,562.1662962,33730,,,Kito,arm_visited,arm_2,537.2163127,24.94998356
61,RadialMaze_2023-01-13_AR_Kito_S1,581.3996169,34884,,,Kito,arm_visited,arm_3,537.2163127,44.18330422
62,RadialMaze_2023-01-13_AR_Kito_S1,614.3162619,36859,,,Kito,arm_visited,arm_4,537.2163127,77.0999492
63,RadialMaze_2023-01-13_AR_Kito_S1,626.266254,37576,,,Kito,arm_visited,arm_5,537.2163127,89.04994132
64,RadialMaze_2023-01-13_AR_Kito_S1,646.9162404,38815,,,Kito,arm_visited,arm_6,537.2163127,109.6999277
65,RadialMaze_2023-01-13_AR_Kito_S1,659.7662319,39586,,,Kito,arm_visited,arm_7,537.2163127,122.5499192
66,RadialMaze_2023-01-13_AR_Kito_S1,672.3662236,40342,,,Kito,arm_visited,arm_8,537.2163127,135.1499109
67,RadialMaze_2023-01-13_AR_Kito_S1,768.7161601,46123,841.7827786,50507,Kito,trial,2,768.7161601,0
68,RadialMaze_2023-01-13_AR_Kito_S1,775.6161556,46537,,,Kito,arm_visited,arm_6,768.7161601,6.899995453
69,RadialMaze_2023-01-13_AR_Kito_S1,777.482821,46649,,,Kito,arm_visited,arm_5,768.7161601,8.76666089
70,RadialMaze_2023-01-13_AR_Kito_S1,782.8828175,46973,,,Kito,arm_visited,arm_3,768.7161601,14.16665733
71,RadialMaze_2023-01-13_AR_Kito_S1,787.7828142,47267,,,Kito,arm_visited,arm_2,768.7161601,19.0666541
72,RadialMaze_2023-01-13_AR_Kito_S1,794.8661429,47692,,,Kito,arm_visited,arm_1,768.7161601,26.14998277
73,RadialMaze_2023-01-13_AR_Kito_S1,814.8661297,48892,,,Kito,arm_visited,arm_2,768.7161601,46.14996959
74,RadialMaze_2023-01-13_AR_Kito_S1,824.3161235,49459,,,Kito,arm_visited,arm_3,768.7161601,55.59996336
75,RadialMaze_2023-01-13_AR_Kito_S1,832.8161179,49969,,,Kito,arm_visited,arm_4,768.7161601,64.09995776
76,RadialMaze_2023-01-13_AR_Kito_S1,923.1660583,55390,971.8160263,58309,Kito,trial,3,923.1660583,0
77,RadialMaze_2023-01-13_AR_Kito_S1,925.1993903,55512,,,Kito,arm_visited,arm_6,923.1660583,2.033331993
78,RadialMaze_2023-01-13_AR_Kito_S1,931.1493864,55869,,,Kito,arm_visited,arm_7,923.1660583,7.983328073
79,RadialMaze_2023-01-13_AR_Kito_S1,937.4993822,56250,,,Kito,arm_visited,arm_5,923.1660583,14.33332389
80,RadialMaze_2023-01-13_AR_Kito_S1,942.2493791,56535,,,Kito,arm_visited,arm_4,923.1660583,19.08332076
81,RadialMaze_2023-01-13_AR_Kito_S1,947.0827093,56825,,,Kito,arm_visited,arm_3,923.1660583,23.91665091
82,RadialMaze_2023-01-13_AR_Kito_S1,951.7993728,57108,,,Kito,arm_visited,arm_2,923.1660583,28.63331447
83,RadialMaze_2023-01-13_AR_Kito_S1,958.132702,57488,,,Kito,arm_visited,arm_8,923.1660583,34.96664363
84,RadialMaze_2023-01-13_AR_Kito_S1,966.0493634,57963,,,Kito,arm_visited,arm_7,923.1660583,42.88330508
85,RadialMaze_2023-01-13_AR_Kito_S1,970.4326939,58226,,,Kito,arm_visited,arm_6,923.1660583,47.26663552
86,RadialMaze_2023-01-13_AR_Kito_S1,1145.249245,68715,1193.532547,71612,Kito,trial,4,1145.249245,0
87,RadialMaze_2023-01-13_AR_Kito_S1,1150.232575,69014,,,Kito,forced_choice ,arm_2,1145.249245,4.98333005
88,RadialMaze_2023-01-13_AR_Kito_S1,1156.282571,69377,,,Kito,forced_choice ,arm_7,1145.249245,11.03332606
89,RadialMaze_2023-01-13_AR_Kito_S1,1167.132564,70028,,,Kito,arm_visited,arm_5,1145.249245,21.88331891
90,RadialMaze_2023-01-13_AR_Kito_S1,1169.932562,70196,,,Kito,arm_visited,arm_4,1145.249245,24.68331707
91,RadialMaze_2023-01-13_AR_Kito_S1,1174.682559,70481,,,Kito,arm_visited,arm_3,1145.249245,29.43331394
92,RadialMaze_2023-01-13_AR_Kito_S1,1178.76589,70726,,,Kito,arm_visited,arm_5,1145.249245,33.51664458
93,RadialMaze_2023-01-13_AR_Kito_S1,1182.699221,70962,,,Kito,arm_visited,arm_6,1145.249245,37.44997532
94,RadialMaze_2023-01-13_AR_Kito_S1,1187.815884,71269,,,Kito,arm_visited,arm_7,1145.249245,42.56663862
95,RadialMaze_2023-01-13_AR_Kito_S1,1192.182548,71531,,,Kito,arm_visited,arm_8,1145.249245,46.93330241
96,RadialMaze_2023-01-13_AR_Kito_S1,1296.132479,77768,1360.032437,81602,Kito,trial,5,1296.132479,0
97,RadialMaze_2023-01-13_AR_Kito_S1,1304.199141,78252,,,Kito,forced_choice ,arm_6,1296.132479,8.066661351
98,RadialMaze_2023-01-13_AR_Kito_S1,1310.399137,78624,,,Kito,forced_choice ,arm_3,1296.132479,14.26665727
99,RadialMaze_2023-01-13_AR_Kito_S1,1317.982465,79079,,,Kito,arm_visited,arm_2,1296.132479,21.8499856
100,RadialMaze_2023-01-13_AR_Kito_S1,1320.99913,79260,,,Kito,arm_visited,arm_1,1296.132479,24.86665028
101,RadialMaze_2023-01-13_AR_Kito_S1,1326.515793,79591,,,Kito,arm_visited,arm_8,1296.132479,30.38331331
102,RadialMaze_2023-01-13_AR_Kito_S1,1332.265789,79936,,,Kito,arm_visited,arm_4,1296.132479,36.13330952
103,RadialMaze_2023-01-13_AR_Kito_S1,1337.332452,80240,,,Kito,arm_visited,arm_2,1296.132479,41.19997285
104,RadialMaze_2023-01-13_AR_Kito_S1,1343.832448,80630,,,Kito,arm_visited,arm_3,1296.132479,47.69996857
105,RadialMaze_2023-01-13_AR_Kito_S1,1356.599106,81396,,,Kito,arm_visited,arm_7,1296.132479,60.46662682
106,RadialMaze_2023-01-13_AR_Kito_S1,1449.165712,86950,1490.899018,89454,Kito,trial,6,1449.165712,0
