session,subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,Age,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes
1,subj.17,Fendi,m,Mix,yes,20.04.2019,21.01.2023,1,self-ordered,1,45,5,6,1,2,4,6,5,1,6,2,4,1,3
1,subj.17,Fendi,m,Mix,yes,20.04.2019,21.01.2023,1,self-ordered,2,45,4,5,7,8,1,2,3,4,8,1,7,5,1
1,subj.17,Fendi,m,Mix,yes,20.04.2019,21.01.2023,1,self-ordered,3,45,3,4,5,6,7,8,1,2,#N/A,#N/A,#N/A,7,0
1,subj.17,Fendi,m,Mix,yes,20.04.2019,21.01.2023,2,forced,1,45,4,5,8,1,2,3,4,5,7,1,6,5,2
1,subj.17,Fendi,m,Mix,yes,20.04.2019,21.01.2023,2,forced,2,45,3,1,6,7,6,1,2,4,5,3,2,1,2
1,subj.17,Fendi,m,Mix,yes,20.04.2019,21.01.2023,2,forced,3,45,8,6,7,8,2,4,5,8,4,1,3,2,2
1,subj.18,Io,f,Whippet,no,07.01.2014,28.01.2023,1,self-ordered,1,108,1,2,5,7,9,1,2,4,6,1,5,1,2
1,subj.18,Io,f,Whippet,no,07.01.2014,28.01.2023,1,self-ordered,2,108,1,2,5,6,5,3,1,2,5,3,2,1,3
1,subj.18,Io,f,Whippet,no,07.01.2014,28.01.2023,1,self-ordered,3,108,6,5,4,7,2,1,8,7,8,4,4,3,1
1,subj.18,Io,f,Whippet,no,07.01.2014,28.01.2023,2,forced,1,108,8,6,1,2,4,6,7,2,6,2,4,1,2
1,subj.18,Io,f,Whippet,no,07.01.2014,28.01.2023,2,forced,2,108,2,5,6,7,3,4,2,5,7,1,6,2,2
1,subj.18,Io,f,Whippet,no,07.01.2014,28.01.2023,2,forced,3,108,3,1,6,4,3,2,8,7,5,1,4,2,1
1,subj.19,Mika2,f,Whippet,yes,07.01.2014,28.01.2023,1,forced,1,108,4,2,5,2,7,5,3,5,4,2,2,#DIV/0!,3
1,subj.19,Mika2,f,Whippet,yes,07.01.2014,28.01.2023,1,forced,2,108,1,7,5,3,6,1,4,7,6,1,5,#DIV/0!,2
1,subj.19,Mika2,f,Whippet,yes,07.01.2014,28.01.2023,1,forced,3,108,6,3,6,8,3,5,6,3,3,1,2,1,4
1,subj.19,Mika2,f,Whippet,yes,07.01.2014,28.01.2023,2,self-ordered,1,108,6,1,8,6,1,4,7,1,4,1,3,1,3
1,subj.19,Mika2,f,Whippet,yes,07.01.2014,28.01.2023,2,self-ordered,2,108,6,1,3,7,5,8,1,3,7,2,5,1,2
1,subj.19,Mika2,f,Whippet,yes,07.01.2014,28.01.2023,2,self-ordered,3,108,1,7,6,8,2,1,7,6,6,1,5,1,3
1,subj.20,Pinky2,f,Whippet,no data,31.03.2017,28.01.2023,1,self-ordered,1,69,3,5,3,7,5,1,3,4,3,1,2,1,3
1,subj.20,Pinky2,f,Whippet,no data,31.03.2017,28.01.2023,1,self-ordered,2,69,2,7,5,7,5,7,8,2,4,2,2,1,4
1,subj.20,Pinky2,f,Whippet,no data,31.03.2017,28.01.2023,1,self-ordered,3,69,7,1,3,1,7,1,2,5,4,2,2,1,3
1,subj.20,Pinky2,f,Whippet,no data,31.03.2017,28.01.2023,2,forced,1,69,2,8,3,4,6,7,1,2,8,1,7,1,1
1,subj.20,Pinky2,f,Whippet,no data,31.03.2017,28.01.2023,2,forced,2,69,4,1,3,5,7,1,3,8,6,2,4,#DIV/0!,2
1,subj.20,Pinky2,f,Whipster,no data,31.03.2017,28.01.2023,2,forced,3,69,7,3,2,4,6,1,3,5,7,2,5,1,1
1,subj.21,Vivi,f,Mix (Labrador),no data,12.04.2016,30.01.2023,1,self-ordered,2,81,2,8,6,5,7,3,1,2,8,1,7,1,1
1,subj.21,Vivi,f,Mix (Labrador),no data,12.04.2016,30.01.2023,1,self-ordered,3,81,6,8,7,1,5,3,5,0,7,5,2,1,1
1,subj.21,Vivi,f,Mix (Labrador),no data,12.04.2016,30.01.2023,2,forced,1,81,2,1,5,6,8,7,1,4,7,2,5,1,1
1,subj.21,Vivi,f,Mix (Labrador),no data,12.04.2016,30.01.2023,2,forced,2,81,8,6,2,5,3,6,1,7,6,2,4,#DIV/0!,1
1,subj.21,Vivi,f,Mix (Labrador),no data,12.04.2016,30.01.2023,2,forced,3,81,5,3,7,6,3,4,2,8,5,2,3,1,1
1,subj.22,Hero,m,Whippet,yes,06.07.2017,31.01.2023,1,self-ordered,1,66,2,8,1,2,3,4,5,7,4,1,3,5,1
1,subj.22,Hero,m,Whippet,yes,06.07.2017,31.01.2023,1,self-ordered,2,66,2,3,4,5,6,7,8,1,#N/A,#N/A,#N/A,7,0
1,subj.22,Hero,m,Whippet,yes,06.07.2017,31.01.2023,1,self-ordered,3,66,3,4,5,6,8,1,2,3,8,1,7,3,1
1,subj.22,Hero,m,Whippet,yes,06.07.2017,31.01.2023,2,forced,1,66,4,2,6,7,8,1,2,3,7,2,5,5,1
1,subj.22,Hero,m,Whippet,yes,06.07.2017,31.01.2023,2,forced,2,66,5,1,5,6,7,8,2,3,3,1,2,3,1
1,subj.22,Hero,m,Whippet,yes,06.07.2017,31.01.2023,2,forced,3,66,3,7,4,5,6,8,1,2,#N/A,#N/A,#N/A,2,0
1,subj.23,Nala13,f,Shepherd Mix,no,01.05.2020,01.02.2023,1,self-ordered,1,33,2,3,1,8,6,3,1,5,6,2,4,1,2
1,subj.23,Nala13,f,Shepherd Mix,no,01.05.2020,01.02.2023,1,self-ordered,2,33,4,3,5,3,8,7,6,5,4,2,2,3,2
1,subj.23,Nala13,f,Shepherd Mix,no,01.05.2020,01.02.2023,1,self-ordered,3,33,6,5,3,1,7,6,5,3,6,1,5,2,3
1,subj.23,Nala13,f,Shepherd Mix,no,01.05.2020,01.02.2023,2,forced,1,33,4,7,2,1,6,5,4,3,7,1,6,3,1
1,subj.23,Nala13,f,Shepherd Mix,no,01.05.2020,01.02.2023,2,forced,2,33,6,2,7,6,5,4,3,2,4,1,3,5,2
1,subj.23,Nala13,f,Shepherd Mix,no,01.05.2020,01.02.2023,2,forced,3,33,3,5,2,1,8,7,6,5,8,2,6,5,1
1,subj. 24,Robby,m,Jagdhundmischling,yes,01.09.2019,01.02.2023,1,self-ordered,1,41,5,6,5,4,2,1,8,7,3,1,2,3,1
1,subj. 24,Robby,m,Jagdhundmischling,yes,01.09.2019,01.02.2023,1,self-ordered,2,41,5,6,5,4,3,2,1,8,3,1,2,6,1
1,subj. 24,Robby,m,Jagdhundmischling,yes,01.09.2019,01.02.2023,1,self-ordered,3,41,5,6,4,3,2,1,8,7,#N/A,#N/A,#N/A,5,0
1,subj. 24,Robby,m,Jagdhundmischling,yes,01.09.2019,01.02.2023,2,forced,1,41,8,2,6,5,4,3,2,1,7,2,5,5,1
