"","CDL_name","sex","Number_arms","session","trial_num","condition","trial.id","choice.nr.within.trial","choice.where","choice.correct","last.choice","previous.correct","any.error.earlier","cup.id","choice.id","lag.from.last.choice","number.cups","error.ny","Age"
"187","Moon2","f",8,1,2,"self-ordered",8,3,3,1,2,"yes","0",4,51,1,2,0,14
"188","Moon2","f",8,1,2,"self-ordered",8,4,2,0,1,"yes","0",2,52,3,3,1,14
"189","Moon2","f",8,1,2,"self-ordered",8,4,2,0,3,"yes","0",3,52,1,3,0,14
"190","Moon2","f",8,1,2,"self-ordered",8,4,2,0,2,"yes","0",4,52,2,3,0,14
"191","Moon2","f",8,1,2,"self-ordered",8,5,1,1,4,"no","1",2,53,1,3,0,14
"192","Moon2","f",8,1,2,"self-ordered",8,5,1,1,3,"no","1",3,53,2,3,0,14
"193","Moon2","f",8,1,2,"self-ordered",8,5,1,1,2,"no","1",4,53,3,3,0,14
"194","Moon2","f",8,1,2,"self-ordered",8,6,8,1,5,"yes","1",1,54,1,4,0,14
"195","Moon2","f",8,1,2,"self-ordered",8,6,8,1,4,"yes","1",2,54,2,4,0,14
"196","Moon2","f",8,1,2,"self-ordered",8,6,8,1,3,"yes","1",3,54,3,4,0,14
"197","Moon2","f",8,1,2,"self-ordered",8,6,8,1,2,"yes","1",4,54,4,4,0,14
"198","Moon2","f",8,1,2,"self-ordered",8,7,6,1,5,"yes","1",1,55,2,5,0,14
"199","Moon2","f",8,1,2,"self-ordered",8,7,6,1,4,"yes","1",2,55,3,5,0,14
"200","Moon2","f",8,1,2,"self-ordered",8,7,6,1,3,"yes","1",3,55,4,5,0,14
"201","Moon2","f",8,1,2,"self-ordered",8,7,6,1,2,"yes","1",4,55,5,5,0,14
"202","Moon2","f",8,1,2,"self-ordered",8,7,6,1,6,"yes","1",8,55,1,5,0,14
"203","Moon2","f",8,1,2,"self-ordered",8,8,5,1,5,"yes","1",1,56,3,6,0,14
"204","Moon2","f",8,1,2,"self-ordered",8,8,5,1,4,"yes","1",2,56,4,6,0,14
"205","Moon2","f",8,1,2,"self-ordered",8,8,5,1,3,"yes","1",3,56,5,6,0,14
"206","Moon2","f",8,1,2,"self-ordered",8,8,5,1,2,"yes","1",4,56,6,6,0,14
"207","Moon2","f",8,1,2,"self-ordered",8,8,5,1,7,"yes","1",6,56,1,6,0,14
"208","Moon2","f",8,1,2,"self-ordered",8,8,5,1,6,"yes","1",8,56,2,6,0,14
"209","Moon2","f",8,1,3,"self-ordered",9,2,4,1,1,"yes","0",5,57,1,1,0,14
"210","Moon2","f",8,1,3,"self-ordered",9,3,3,1,2,"yes","0",4,58,1,2,0,14
"211","Moon2","f",8,1,3,"self-ordered",9,3,3,1,1,"yes","0",5,58,2,2,0,14
"212","Moon2","f",8,1,3,"self-ordered",9,4,1,1,3,"yes","0",3,59,1,3,0,14
"213","Moon2","f",8,1,3,"self-ordered",9,4,1,1,2,"yes","0",4,59,2,3,0,14
"214","Moon2","f",8,1,3,"self-ordered",9,4,1,1,1,"yes","0",5,59,3,3,0,14
"215","Moon2","f",8,1,3,"self-ordered",9,5,8,1,4,"yes","0",1,60,1,4,0,14
"216","Moon2","f",8,1,3,"self-ordered",9,5,8,1,3,"yes","0",3,60,2,4,0,14
"217","Moon2","f",8,1,3,"self-ordered",9,5,8,1,2,"yes","0",4,60,3,4,0,14
"218","Moon2","f",8,1,3,"self-ordered",9,5,8,1,1,"yes","0",5,60,4,4,0,14
"219","Moon2","f",8,1,3,"self-ordered",9,6,6,1,4,"yes","0",1,61,2,5,0,14
"220","Moon2","f",8,1,3,"self-ordered",9,6,6,1,3,"yes","0",3,61,3,5,0,14
"221","Moon2","f",8,1,3,"self-ordered",9,6,6,1,2,"yes","0",4,61,4,5,0,14
"222","Moon2","f",8,1,3,"self-ordered",9,6,6,1,1,"yes","0",5,61,5,5,0,14
"223","Moon2","f",8,1,3,"self-ordered",9,6,6,1,5,"yes","0",8,61,1,5,0,14
"224","Moon2","f",8,1,3,"self-ordered",9,7,5,0,4,"yes","0",1,62,3,6,0,14
"225","Moon2","f",8,1,3,"self-ordered",9,7,5,0,3,"yes","0",3,62,4,6,0,14
"226","Moon2","f",8,1,3,"self-ordered",9,7,5,0,2,"yes","0",4,62,5,6,0,14
"227","Moon2","f",8,1,3,"self-ordered",9,7,5,0,1,"yes","0",5,62,6,6,1,14
"228","Moon2","f",8,1,3,"self-ordered",9,7,5,0,6,"yes","0",6,62,1,6,0,14
"229","Moon2","f",8,1,3,"self-ordered",9,7,5,0,5,"yes","0",8,62,2,6,0,14
"230","Moon2","f",8,1,3,"self-ordered",9,8,4,0,4,"no","1",1,63,4,6,0,14
"231","Moon2","f",8,1,3,"self-ordered",9,8,4,0,3,"no","1",3,63,5,6,0,14
"232","Moon2","f",8,1,3,"self-ordered",9,8,4,0,2,"no","1",4,63,6,6,1,14
"233","Moon2","f",8,1,3,"self-ordered",9,8,4,0,7,"no","1",5,63,1,6,0,14
"234","Moon2","f",8,1,3,"self-ordered",9,8,4,0,6,"no","1",6,63,2,6,0,14
"235","Moon2","f",8,1,3,"self-ordered",9,8,4,0,5,"no","1",8,63,3,6,0,14
"236","Moon2","f",8,1,1,"forced",10,2,5,1,1,"yes","0",6,64,1,1,0,14
"237","Moon2","f",8,1,1,"forced",10,3,3,1,2,"yes","0",5,65,1,2,0,14
"238","Moon2","f",8,1,1,"forced",10,3,3,1,1,"yes","0",6,65,2,2,0,14
"239","Moon2","f",8,1,1,"forced",10,4,2,1,3,"yes","0",3,66,1,3,0,14
"240","Moon2","f",8,1,1,"forced",10,4,2,1,2,"yes","0",5,66,2,3,0,14
"241","Moon2","f",8,1,1,"forced",10,4,2,1,1,"yes","0",6,66,3,3,0,14
"242","Moon2","f",8,1,1,"forced",10,5,1,1,4,"yes","0",2,67,1,4,0,14
"243","Moon2","f",8,1,1,"forced",10,5,1,1,3,"yes","0",3,67,2,4,0,14
"244","Moon2","f",8,1,1,"forced",10,5,1,1,2,"yes","0",5,67,3,4,0,14
"245","Moon2","f",8,1,1,"forced",10,5,1,1,1,"yes","0",6,67,4,4,0,14
"246","Moon2","f",8,1,1,"forced",10,6,7,1,5,"yes","0",1,68,1,5,0,14
"247","Moon2","f",8,1,1,"forced",10,6,7,1,4,"yes","0",2,68,2,5,0,14
"248","Moon2","f",8,1,1,"forced",10,6,7,1,3,"yes","0",3,68,3,5,0,14
"249","Moon2","f",8,1,1,"forced",10,6,7,1,2,"yes","0",5,68,4,5,0,14
"250","Moon2","f",8,1,1,"forced",10,6,7,1,1,"yes","0",6,68,5,5,0,14
"251","Moon2","f",8,1,1,"forced",10,7,5,0,5,"yes","0",1,69,2,6,0,14
"252","Moon2","f",8,1,1,"forced",10,7,5,0,4,"yes","0",2,69,3,6,0,14
"253","Moon2","f",8,1,1,"forced",10,7,5,0,3,"yes","0",3,69,4,6,0,14
"254","Moon2","f",8,1,1,"forced",10,7,5,0,2,"yes","0",5,69,5,6,1,14
"255","Moon2","f",8,1,1,"forced",10,7,5,0,1,"yes","0",6,69,6,6,0,14
"256","Moon2","f",8,1,1,"forced",10,7,5,0,6,"yes","0",7,69,1,6,0,14
"257","Moon2","f",8,1,1,"forced",10,8,4,1,5,"no","1",1,70,3,6,0,14
"258","Moon2","f",8,1,1,"forced",10,8,4,1,4,"no","1",2,70,4,6,0,14
"259","Moon2","f",8,1,1,"forced",10,8,4,1,3,"no","1",3,70,5,6,0,14
"260","Moon2","f",8,1,1,"forced",10,8,4,1,7,"no","1",5,70,1,6,0,14
"261","Moon2","f",8,1,1,"forced",10,8,4,1,1,"no","1",6,70,7,6,0,14
"262","Moon2","f",8,1,1,"forced",10,8,4,1,6,"no","1",7,70,2,6,0,14
"263","Moon2","f",8,1,2,"forced",11,2,7,1,1,"yes","0",1,71,1,1,0,14
"264","Moon2","f",8,1,2,"forced",11,3,5,1,1,"yes","0",1,72,2,2,0,14
"265","Moon2","f",8,1,2,"forced",11,3,5,1,2,"yes","0",7,72,1,2,0,14
"266","Moon2","f",8,1,2,"forced",11,4,4,1,1,"yes","0",1,73,3,3,0,14
"267","Moon2","f",8,1,2,"forced",11,4,4,1,3,"yes","0",5,73,1,3,0,14
"268","Moon2","f",8,1,2,"forced",11,4,4,1,2,"yes","0",7,73,2,3,0,14
"269","Moon2","f",8,1,2,"forced",11,5,3,1,1,"yes","0",1,74,4,4,0,14
"270","Moon2","f",8,1,2,"forced",11,5,3,1,4,"yes","0",4,74,1,4,0,14
"271","Moon2","f",8,1,2,"forced",11,5,3,1,3,"yes","0",5,74,2,4,0,14
