subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,age,block,condition,trial_num,first_arm_,second_arm_,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm
subj.34,Lea3,f,ParsonRussellTerrier,yes,30/08/2014,17/02/2023,101,2,self-ordered,2,,,4,6,1,2,3,4,6,8
subj.34,Lea3,f,ParsonRussellTerrier,yes,30/08/2014,17/02/2023,101,2,self-ordered,3,,,5,6,8,1,2,4,5,7
subj.35,Jay2,m,FrenchBulldog,yes,20/07/2016,18/02/2023,78,1,self-ordered,1,,,2,1,4,3,7,6,5,3
subj.35,Jay2,m,FrenchBulldog,yes,20/07/2016,18/02/2023,78,1,self-ordered,2,,,1,2,8,7,5,4,1,2
subj.35,Jay2,m,FrenchBulldog,yes,20/07/2016,18/02/2023,78,1,self-ordered,3,,,2,1,8,7,2,3,4,6
subj.35,Jay2,m,FrenchBulldog,yes,20/07/2016,18/02/2023,78,2,forced,1,,,3,1,1,2,3,5,8,7
subj.35,Jay2,m,FrenchBulldog,yes,20/07/2016,18/02/2023,78,2,forced,2,,,2,7,1,2,3,5,7,8
subj.35,Jay2,m,FrenchBulldog,yes,20/07/2016,18/02/2023,78,2,forced,3,,,5,8,7,1,3,4,3,5
subj.36,Honey,f,AustralianShepherd,nodata,15/03/2019,20/02/2023,47,1,forced,1,,,7,2,6,4,3,1,8,7
subj.36,Honey,f,AustralianShepherd,nodata,15/03/2019,20/02/2023,47,1,forced,2,,,6,4,2,1,7,5,4,2
