subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,first_arm_,second_arm_,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm
subj.44,Lilo3,f,DwarfPoodle,yes,18.06.2021,,1,forced,3,,,2,6,3,5,4,3,2,8
subj.44,Lilo3,f,DwarfPoodle,yes,18.06.2021,,2,self-ordered,1,,,4,5,3,2,1,8,7,6
subj.44,Lilo3,f,DwarfPoodle,yes,18.06.2021,,2,self-ordered,2,,,5,6,7,1,3,4,5,6
subj.44,Lilo3,f,DwarfPoodle,yes,18.06.2021,,2,self-ordered,3,,,5,3,2,1,8,7,6,5
subj.29,Diego6,m,BorderTerrier,no,09.09.2017,,1,forced,1,,,2,8,3,4,3,2,1,7
subj.29,Diego6,m,BorderTerrier,no,09.09.2017,,1,forced,2,,,4,1,2,4,5,7,1,2
subj.29,Diego6,m,BorderTerrier,no,09.09.2017,,1,forced,3,,,5,3,2,7,4,2,1,8
subj.29,Diego6,m,BorderTerrier,no,09.09.2017,,2,self-ordered,1,,,2,4,5,7,8,1,2,4
subj.29,Diego6,m,BorderTerrier,no,09.09.2017,,2,self-ordered,2,,,2,3,4,5,1,2,8,7
subj.29,Diego6,m,BorderTerrier,no,09.09.2017,,2,self-ordered,3,,,8,2,4,5,7,1,3,6
subj.56,Nele4,f,Löwchen,no,10.12.2021,11.04.2023,1,self-ordered,1,,,2,5,6,7,8,1,2,3
subj.56,Nele4,f,Löwchen,no,10.12.2021,11.04.2023,1,self-ordered,2,,,7,6,5,4,3,2,1,8
subj.56,Nele4,f,Löwchen,no,10.12.2021,11.04.2023,1,self-ordered,3,,,7,6,5,4,3,2,1,8
subj.56,Nele4,f,Löwchen,no,10.12.2021,11.04.2023,2,forced,1,,,4,8,5,4,3,7,6,5
subj.56,Nele4,f,Löwchen,no,10.12.2021,11.04.2023,2,forced,3,,,6,2,8,1,2,3,4,5
subj.57,Zira,f,Havaneser,no,10.12.2021,11.04.2023,1,forced,1,,,2,4,6,5,3,2,8,7
subj.57,Zira,f,Havaneser,no,10.12.2021,11.04.2023,1,forced,2,,,1,7,6,5,3,2,1,7
subj.57,Zira,f,Havaneser,no,10.12.2021,11.04.2023,1,forced,3,,,6,3,5,3,2,1,8,7
subj.57,Zira,f,Havaneser,no,10.12.2021,11.04.2023,2,self-ordered,1,,,6,5,2,1,8,7,5,3
subj.57,Zira,f,Havaneser,no,10.12.2021,11.04.2023,2,self-ordered,2,,,5,4,3,2,1,7,6,5
subj.57,Zira,f,Havaneser,no,10.12.2021,11.04.2023,2,self-ordered,3,,,2,1,8,7,6,5,4,3
subj.50,Akido,m,Mix(BorderCollie),yes,14.01.2025,07.05.2023,1,self-ordered,1,,,3,5,7,1,4,6,8,2
