ID,Subject,trial_number,Trial start,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,condition,first_error_position,return_to_arm,Lag_from_last_choice,time_delay,return_delay,means,time_delay_adjusted,time_fe,time_fe_after,time_fe_before
98,Jimi,2,427.75,436.8333333,441.5833333,452.5333333,458.85,467.2333333,481.9166667,489.55,496.05,#N/A,forced,7,3,4,52.7166667,37.0166667,8.5375,6.174719379,6.5,6.5,7.6333333
99,Jimi,3,590.9166667,594.7166667,603.8,617.1,621.7833333,630.3333333,636.1833333,644.35,657.9666667,#N/A,forced,7,3,4,49.6333333,27.25,8.38125,5.92194879,13.6166667,13.6166667,8.1666667
100,Jimi,4,746.2833333,753.8333333,758.0333333,763.5,768.8333333,774.0833333,780.7666667,786.9666667,793.7666667,#N/A,self-ordered,7,1,6,33.1333334,33.1333334,5.935416675,5.582309586,6.8,6.8,6.2
101,Jimi,5,872.05,882.5333333,886.5166667,893.2333333,898.5,905.4,912.1833333,918.6166667,924.7833333,#N/A,self-ordered,6,1,5,29.65,29.65,6.591666663,4.498103669,6.4333334,6.4333334,6.7833333
102,Jimi,6,1015.616667,1023.7,1029.4,1034.966667,1043.216667,1047.816667,1055.266667,1060.883333,1069.116667,#N/A,self-ordered,8,2,6,45.416667,39.716667,6.6875,6.791277308,#N/A,#N/A,8.233334
103,Kito,1,537.2163127,545.1996407,562.1662962,581.3996169,614.3162619,626.266254,646.9162404,659.7662319,672.3662236,#N/A,self-ordered,9,#N/A,#N/A,#N/A,#N/A,16.89373886,#N/A,#N/A,#N/A,#N/A
104,Kito,2,768.7161601,775.6161556,777.482821,782.8828175,787.7828142,794.8661429,814.8661297,824.3161235,832.8161179,#N/A,self-ordered,6,4,2,39.2499741,27.0833155,8.012494725,4.898595936,9.4499938,9.4499938,19.9999868
105,Kito,3,923.1660583,925.1993903,931.1493864,937.4993822,942.2493791,947.0827093,951.7993728,958.132702,966.0493634,970.4326939,self-ordered,8,2,6,40.8499731,34.899977,5.360413137,7.620676252,4.3833305,4.3833305,7.9166614
106,Kito,4,1145.249245,1150.232575,1156.282571,1167.132564,1169.932562,1174.682559,1178.76589,1182.699221,1187.815884,1192.182548,forced,6,3,3,28.533315,11.633326,5.320829875,5.36256856,3.933331,3.933331,4.083331
107,Kito,5,1296.132479,1304.199141,1310.399137,1317.982465,1320.99913,1326.515793,1332.265789,1337.332452,1343.832448,1356.599106,forced,7,3,4,33.133311,19.349987,5.962496125,5.556953045,6.499996,6.499996,5.066663
108,Kito,6,1449.165712,1453.715709,1456.94904,1462.649036,1466.8157,1470.582364,1474.899028,1479.699025,1484.049022,1488.649019,forced,9,#N/A,#N/A,34.93331,#N/A,4.36041375,8.011466802,#N/A,#N/A,#N/A
109,Kukie,1,242.9666667,247.0833333,254.6166667,267.5166667,281.7666667,297.1833333,302.95,320.6833333,329.2666667,#N/A,forced,6,1,5,55.8666667,55.8666667,10.7875,5.17883353,17.7333333,17.7333333,5.7666667
110,Kukie,2,417.0666667,439.1833333,447.7666667,453.9333333,465.0333333,471.4833333,476.7666667,485.1166667,490.1833333,#N/A,forced,5,1,4,32.3,32.3,9.139583325,3.534077961,5.2833334,5.2833334,6.45
111,Kukie,3,594.0166667,597.6833333,602.2833333,618.9166667,624.35,629.0833333,636.6,646.7833333,655.65,661.55,forced,7,3,4,49.1,27.8666666,7.704166663,6.373174692,8.8666667,8.8666667,10.1833333
112,Kukie,4,752.7833333,760.5666667,767.3166667,774.05,778.7833333,785.5833333,791.8,798.0833333,803.15,809.6166667,self-ordered,6,1,5,31.2333333,31.2333333,6.295833338,4.960953003,6.2833333,6.2833333,6.2166667
113,Kukie,5,884.95,892,902.6,909.0833333,913.6333333,919.6833333,932.0666667,936.1166667,943.9,953.0166667,self-ordered,3,1,2,17.0833333,17.0833333,7.36875,2.318348879,4.55,4.55,6.4833333
114,Kukie,6,1020.9,1028.316667,1036.266667,1038.133333,1043.9,1052.783333,1055.716667,1064.733333,1073.75,1078.283333,self-ordered,6,1,5,27.4,27.4,6.60625,4.147587512,9.016666,9.016666,2.933334
115,Lea3,2,789.0333333,796.75,804.4833333,818.8833333,829.6166667,836.95,845.7166667,854.7,861.2166667,#N/A,forced,8,3,5,64.4666667,42.3333334,9.022916675,7.144770258,#N/A,#N/A,6.5166667
116,Lea3,3,972.15,979.6833333,988.0333333,998.95,1009.1,1015.666667,1025.816667,1034.316667,1042.083333,#N/A,forced,5,2,3,35.9833337,27.6333337,8.741666625,4.116301301,10.15,10.15,6.566667
